Area Name,Month,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases,Cumulative lab-confirmed cases rate
South West,May,2020-05-25,61,11531,205.9
North West,May,2020-05-26,310,36137,495.6
London,May,2020-05-26,66,32056,359.9
South East,May,2020-05-26,181,30108,329.6
Yorkshire and The Humber,May,2020-05-26,232,22655,413.4
West Midlands,May,2020-05-26,151,22171,375.7
East of England,May,2020-05-26,149,20420,329.3
East Midlands,May,2020-05-26,160,15502,322.7
North East,May,2020-05-26,100,13921,523.8
South West,May,2020-05-26,82,11613,207.4
North West,May,2020-05-27,294,36431,499.6
London,May,2020-05-27,83,32139,360.8
South East,May,2020-05-27,202,30310,331.9
Yorkshire and The Humber,May,2020-05-27,254,22909,418.1
West Midlands,May,2020-05-27,194,22365,379
East of England,May,2020-05-27,146,20566,331.6
East Midlands,May,2020-05-27,197,15699,326.8
North East,May,2020-05-27,115,14036,528.1
South West,May,2020-05-27,105,11718,209.3
North West,May,2020-05-28,325,36756,504.1
London,May,2020-05-28,73,32212,361.6
South East,May,2020-05-28,201,30511,334.1
Yorkshire and The Humber,May,2020-05-28,274,23183,423.1
West Midlands,May,2020-05-28,155,22520,381.6
East of England,May,2020-05-28,150,20716,334.1
East Midlands,May,2020-05-28,191,15890,330.8
North East,May,2020-05-28,49,14085,529.9
South West,May,2020-05-28,115,11833,211.3
North West,May,2020-05-29,303,37059,508.2
London,May,2020-05-29,57,32269,362.2
South East,May,2020-05-29,163,30674,335.8
Yorkshire and The Humber,May,2020-05-29,200,23383,426.7
West Midlands,May,2020-05-29,155,22675,384.3
East of England,May,2020-05-29,150,20866,336.5
East Midlands,May,2020-05-29,170,16060,334.3
North East,May,2020-05-29,70,14155,532.6
South West,May,2020-05-29,73,11906,212.6
North West,May,2020-05-30,216,37275,511.2
London,May,2020-05-30,38,32307,362.7
South East,May,2020-05-30,132,30806,337.3
Yorkshire and The Humber,May,2020-05-30,164,23547,429.7
West Midlands,May,2020-05-30,116,22791,386.2
East of England,May,2020-05-30,75,20941,337.7
East Midlands,May,2020-05-30,139,16199,337.2
North East,May,2020-05-30,47,14202,534.3
South West,May,2020-05-30,51,11957,213.5
North West,May,2020-05-31,234,37509,514.4
London,May,2020-05-31,38,32345,363.1
South East,May,2020-05-31,134,30940,338.7
Yorkshire and The Humber,May,2020-05-31,176,23723,432.9
West Midlands,May,2020-05-31,77,22868,387.5
East of England,May,2020-05-31,54,20995,338.6
East Midlands,May,2020-05-31,149,16348,340.3
North East,May,2020-05-31,46,14248,536.1
South West,May,2020-05-31,62,12019,214.6
North West,June,2020-06-01,261,37770,518
London,June,2020-06-01,49,32394,363.6
South East,June,2020-06-01,184,31124,340.8
Yorkshire and The Humber,June,2020-06-01,191,23914,436.4
West Midlands,June,2020-06-01,125,22993,389.7
East of England,June,2020-06-01,131,21126,340.7
East Midlands,June,2020-06-01,217,16565,344.8
North East,June,2020-06-01,70,14318,538.7
South West,June,2020-06-01,52,12071,215.6
North West,June,2020-06-02,286,38056,521.9
London,June,2020-06-02,47,32441,364.2
South East,June,2020-06-02,221,31345,343.2
Yorkshire and The Humber,June,2020-06-02,197,24111,440
West Midlands,June,2020-06-02,126,23119,391.8
East of England,June,2020-06-02,122,21248,342.6
East Midlands,June,2020-06-02,219,16784,349.4
North East,June,2020-06-02,59,14377,540.9
South West,June,2020-06-02,51,12122,216.5
North West,June,2020-06-03,255,38311,525.4
London,June,2020-06-03,79,32520,365.1
South East,June,2020-06-03,137,31482,344.7
Yorkshire and The Humber,June,2020-06-03,206,24317,443.8
West Midlands,June,2020-06-03,125,23244,393.9
East of England,June,2020-06-03,112,21360,344.4
East Midlands,June,2020-06-03,171,16955,352.9
North East,June,2020-06-03,51,14428,542.8
South West,June,2020-06-03,70,12192,217.7
North West,June,2020-06-04,237,38548,528.6
London,June,2020-06-04,57,32577,365.7
South East,June,2020-06-04,160,31642,346.4
Yorkshire and The Humber,June,2020-06-04,178,24495,447
West Midlands,June,2020-06-04,136,23380,396.2
East of England,June,2020-06-04,87,21447,345.9
East Midlands,June,2020-06-04,143,17098,355.9
North East,June,2020-06-04,60,14488,545.1
South West,June,2020-06-04,67,12259,218.9
North West,June,2020-06-05,203,38751,531.4
London,June,2020-06-05,47,32624,366.2
South East,June,2020-06-05,141,31783,348
Yorkshire and The Humber,June,2020-06-05,155,24650,449.8
West Midlands,June,2020-06-05,102,23482,397.9
East of England,June,2020-06-05,103,21550,347.5
East Midlands,June,2020-06-05,154,17252,359.1
North East,June,2020-06-05,42,14530,546.7
South West,June,2020-06-05,52,12311,219.8
North West,June,2020-06-06,132,38883,533.2
London,June,2020-06-06,46,32670,366.7
South East,June,2020-06-06,85,31868,348.9
Yorkshire and The Humber,June,2020-06-06,121,24771,452.1
West Midlands,June,2020-06-06,77,23559,399.3
East of England,June,2020-06-06,88,21638,348.9
East Midlands,June,2020-06-06,105,17357,361.3
North East,June,2020-06-06,28,14558,547.7
South West,June,2020-06-06,23,12334,220.3
North West,June,2020-06-07,129,39012,535
London,June,2020-06-07,45,32715,367.3
South East,June,2020-06-07,60,31928,349.6
Yorkshire and The Humber,June,2020-06-07,150,24921,454.8
West Midlands,June,2020-06-07,64,23623,400.3
East of England,June,2020-06-07,48,21686,349.7
East Midlands,June,2020-06-07,129,17486,364
North East,June,2020-06-07,17,14575,548.4
South West,June,2020-06-07,19,12353,220.6
North West,June,2020-06-08,165,39177,537.3
London,June,2020-06-08,56,32771,367.9
South East,June,2020-06-08,122,32050,350.9
Yorkshire and The Humber,June,2020-06-08,188,25109,458.2
West Midlands,June,2020-06-08,120,23743,402.4
East of England,June,2020-06-08,97,21783,351.3
East Midlands,June,2020-06-08,174,17660,367.6
North East,June,2020-06-08,34,14609,549.6
South West,June,2020-06-08,23,12376,221
North West,June,2020-06-09,218,39395,540.2
London,June,2020-06-09,71,32842,368.7
South East,June,2020-06-09,113,32163,352.1
Yorkshire and The Humber,June,2020-06-09,172,25281,461.4
West Midlands,June,2020-06-09,101,23844,404.1
East of England,June,2020-06-09,134,21917,353.4
East Midlands,June,2020-06-09,177,17837,371.3
North East,June,2020-06-09,40,14649,551.1
South West,June,2020-06-09,25,12401,221.5
North West,June,2020-06-10,225,39620,543.3
London,June,2020-06-10,53,32895,369.3
South East,June,2020-06-10,126,32289,353.5
Yorkshire and The Humber,June,2020-06-10,226,25507,465.5
West Midlands,June,2020-06-10,92,23936,405.6
East of England,June,2020-06-10,122,22039,355.4
East Midlands,June,2020-06-10,166,18003,374.7
North East,June,2020-06-10,38,14687,552.6
South West,June,2020-06-10,31,12432,222
North West,June,2020-06-11,176,39796,545.7
London,June,2020-06-11,47,32942,369.8
South East,June,2020-06-11,93,32382,354.5
Yorkshire and The Humber,June,2020-06-11,196,25703,469.1
West Midlands,June,2020-06-11,93,24029,407.2
East of England,June,2020-06-11,74,22113,356.6
East Midlands,June,2020-06-11,182,18185,378.5
North East,June,2020-06-11,23,14710,553.4
South West,June,2020-06-11,25,12457,222.5
North West,June,2020-06-12,169,39965,548.1
London,June,2020-06-12,53,32995,370.4
South East,June,2020-06-12,85,32467,355.5
Yorkshire and The Humber,June,2020-06-12,246,25949,473.6
West Midlands,June,2020-06-12,77,24106,408.5
East of England,June,2020-06-12,68,22181,357.7
East Midlands,June,2020-06-12,173,18358,382.1
North East,June,2020-06-12,40,14750,554.9
South West,June,2020-06-12,19,12476,222.8
North West,June,2020-06-13,128,40093,549.8
London,June,2020-06-13,39,33034,370.8
South East,June,2020-06-13,66,32533,356.2
Yorkshire and The Humber,June,2020-06-13,193,26142,477.1
West Midlands,June,2020-06-13,87,24193,410
East of England,June,2020-06-13,92,22273,359.2
East Midlands,June,2020-06-13,132,18490,384.9
North East,June,2020-06-13,31,14781,556.1
South West,June,2020-06-13,14,12490,223
North West,June,2020-06-14,148,40241,551.8
London,June,2020-06-14,31,33065,371.2
South East,June,2020-06-14,72,32605,357
Yorkshire and The Humber,June,2020-06-14,159,26301,480
West Midlands,June,2020-06-14,75,24268,411.3
East of England,June,2020-06-14,73,22346,360.3
East Midlands,June,2020-06-14,145,18635,387.9
North East,June,2020-06-14,31,14812,557.3
South West,June,2020-06-14,9,12499,223.2
North West,June,2020-06-15,165,40406,554.1
London,June,2020-06-15,41,33106,371.6
South East,June,2020-06-15,98,32703,358.1
Yorkshire and The Humber,June,2020-06-15,189,26490,483.4
West Midlands,June,2020-06-15,102,24370,413
East of England,June,2020-06-15,112,22458,362.2
East Midlands,June,2020-06-15,164,18799,391.3
North East,June,2020-06-15,32,14844,558.5
South West,June,2020-06-15,20,12519,223.6
North West,June,2020-06-16,211,40617,557
London,June,2020-06-16,47,33153,372.2
South East,June,2020-06-16,96,32799,359.1
Yorkshire and The Humber,June,2020-06-16,216,26706,487.4
West Midlands,June,2020-06-16,106,24476,414.8
East of England,June,2020-06-16,107,22565,363.9
East Midlands,June,2020-06-16,161,18960,394.7
North East,June,2020-06-16,18,14862,559.2
South West,June,2020-06-16,15,12534,223.8
North West,June,2020-06-17,183,40800,559.5
London,June,2020-06-17,43,33196,372.7
South East,June,2020-06-17,82,32881,360
Yorkshire and The Humber,June,2020-06-17,230,26936,491.6
West Midlands,June,2020-06-17,80,24556,416.1
East of England,June,2020-06-17,77,22642,365.1
East Midlands,June,2020-06-17,164,19124,398.1
North East,June,2020-06-17,19,14881,559.9
South West,June,2020-06-17,16,12550,224.1
North West,June,2020-06-18,178,40978,562
London,June,2020-06-18,46,33242,373.2
South East,June,2020-06-18,75,32956,360.8
Yorkshire and The Humber,June,2020-06-18,257,27193,496.3
West Midlands,June,2020-06-18,82,24638,417.5
East of England,June,2020-06-18,83,22725,366.5
East Midlands,June,2020-06-18,169,19293,401.6
North East,June,2020-06-18,23,14904,560.7
South West,June,2020-06-18,13,12563,224.3
North West,June,2020-06-19,166,41144,564.2
London,June,2020-06-19,37,33279,373.6
South East,June,2020-06-19,78,33034,361.7
Yorkshire and The Humber,June,2020-06-19,202,27395,499.9
West Midlands,June,2020-06-19,52,24690,418.4
East of England,June,2020-06-19,74,22799,367.7
East Midlands,June,2020-06-19,153,19446,404.8
North East,June,2020-06-19,14,14918,561.3
South West,June,2020-06-19,24,12587,224.8
North West,June,2020-06-20,118,41262,565.8
London,June,2020-06-20,28,33307,373.9
South East,June,2020-06-20,66,33100,362.4
Yorkshire and The Humber,June,2020-06-20,161,27556,502.9
West Midlands,June,2020-06-20,49,24739,419.3
East of England,June,2020-06-20,30,22829,368.1
East Midlands,June,2020-06-20,145,19591,407.8
North East,June,2020-06-20,17,14935,561.9
South West,June,2020-06-20,8,12595,224.9
North West,June,2020-06-21,100,41362,567.2
London,June,2020-06-21,27,33334,374.2
South East,June,2020-06-21,67,33167,363.1
Yorkshire and The Humber,June,2020-06-21,116,27672,505
West Midlands,June,2020-06-21,37,24776,419.9
East of England,June,2020-06-21,57,22886,369.1
East Midlands,June,2020-06-21,131,19722,410.5
North East,June,2020-06-21,4,14939,562.1
South West,June,2020-06-21,8,12603,225.1
North West,June,2020-06-22,158,41520,569.4
London,June,2020-06-22,51,33385,374.8
South East,June,2020-06-22,77,33244,364
Yorkshire and The Humber,June,2020-06-22,156,27828,507.8
West Midlands,June,2020-06-22,68,24844,421
East of England,June,2020-06-22,73,22959,370.2
East Midlands,June,2020-06-22,177,19899,414.2
North East,June,2020-06-22,24,14963,563
South West,June,2020-06-22,19,12622,225.4
North West,June,2020-06-23,127,41647,571.1
London,June,2020-06-23,49,33434,375.3
South East,June,2020-06-23,59,33303,364.6
Yorkshire and The Humber,June,2020-06-23,171,27999,511
West Midlands,June,2020-06-23,53,24897,421.9
East of England,June,2020-06-23,44,23003,370.9
East Midlands,June,2020-06-23,171,20070,417.8
North East,June,2020-06-23,26,14989,563.9
South West,June,2020-06-23,15,12637,225.7
North West,June,2020-06-24,159,41806,573.3
London,June,2020-06-24,46,33480,375.8
South East,June,2020-06-24,44,33347,365.1
Yorkshire and The Humber,June,2020-06-24,157,28156,513.8
West Midlands,June,2020-06-24,54,24951,422.8
East of England,June,2020-06-24,59,23062,371.9
East Midlands,June,2020-06-24,173,20243,421.4
North East,June,2020-06-24,11,15000,564.4
South West,June,2020-06-24,16,12653,226
North West,June,2020-06-25,125,41931,575
London,June,2020-06-25,57,33537,376.5
South East,June,2020-06-25,65,33412,365.8
Yorkshire and The Humber,June,2020-06-25,143,28299,516.4
West Midlands,June,2020-06-25,55,25006,423.8
East of England,June,2020-06-25,39,23101,372.5
East Midlands,June,2020-06-25,126,20369,424
North East,June,2020-06-25,12,15012,564.8
South West,June,2020-06-25,8,12661,226.1
North West,June,2020-06-26,105,42036,576.5
London,June,2020-06-26,47,33584,377
South East,June,2020-06-26,65,33477,366.5
Yorkshire and The Humber,June,2020-06-26,152,28451,519.2
West Midlands,June,2020-06-26,69,25075,424.9
East of England,June,2020-06-26,59,23160,373.5
East Midlands,June,2020-06-26,114,20483,426.4
North East,June,2020-06-26,8,15020,565.1
South West,June,2020-06-26,12,12673,226.3
North West,June,2020-06-27,93,42129,577.7
London,June,2020-06-27,32,33616,377.4
South East,June,2020-06-27,53,33530,367.1
Yorkshire and The Humber,June,2020-06-27,149,28600,521.9
West Midlands,June,2020-06-27,43,25118,425.7
East of England,June,2020-06-27,20,23180,373.8
East Midlands,June,2020-06-27,86,20569,428.2
North East,June,2020-06-27,13,15033,565.6
South West,June,2020-06-27,8,12681,226.5
North West,June,2020-06-28,95,42224,579
London,June,2020-06-28,22,33638,377.6
South East,June,2020-06-28,45,33575,367.6
Yorkshire and The Humber,June,2020-06-28,97,28697,523.7
West Midlands,June,2020-06-28,26,25144,426.1
East of England,June,2020-06-28,24,23204,374.2
East Midlands,June,2020-06-28,78,20647,429.8
North East,June,2020-06-28,9,15042,565.9
South West,June,2020-06-28,11,12692,226.7
North West,June,2020-06-29,123,42347,580.7
London,June,2020-06-29,56,33694,378.2
South East,June,2020-06-29,79,33654,368.5
Yorkshire and The Humber,June,2020-06-29,133,28830,526.1
West Midlands,June,2020-06-29,57,25201,427.1
East of England,June,2020-06-29,48,23252,375
East Midlands,June,2020-06-29,129,20776,432.5
North East,June,2020-06-29,11,15053,566.3
South West,June,2020-06-29,16,12708,226.9
North West,June,2020-06-30,104,42451,582.2
London,June,2020-06-30,52,33746,378.8
South East,June,2020-06-30,57,33711,369.1
Yorkshire and The Humber,June,2020-06-30,112,28942,528.2
West Midlands,June,2020-06-30,51,25252,427.9
East of England,June,2020-06-30,33,23285,375.5
East Midlands,June,2020-06-30,129,20905,435.1
North East,June,2020-06-30,11,15064,566.8
South West,June,2020-06-30,18,12726,227.3
North West,July,2020-07-01,113,42564,583.7
London,July,2020-07-01,43,33789,379.3
South East,July,2020-07-01,68,33779,369.8
Yorkshire and The Humber,July,2020-07-01,132,29074,530.6
West Midlands,July,2020-07-01,50,25302,428.8
East of England,July,2020-07-01,39,23324,376.1
East Midlands,July,2020-07-01,120,21025,437.6
North East,July,2020-07-01,7,15071,567
South West,July,2020-07-01,23,12749,227.7
North West,July,2020-07-02,97,42661,585
South East,July,2020-07-02,60,33839,370.5
London,July,2020-07-02,34,33823,379.7
Yorkshire and The Humber,July,2020-07-02,104,29178,532.5
West Midlands,July,2020-07-02,54,25356,429.7
East of England,July,2020-07-02,63,23387,377.1
East Midlands,July,2020-07-02,105,21130,439.8
North East,July,2020-07-02,9,15080,567.4
South West,July,2020-07-02,11,12760,227.9
North West,July,2020-07-03,96,42757,586.3
South East,July,2020-07-03,65,33904,371.2
London,July,2020-07-03,38,33861,380.1
Yorkshire and The Humber,July,2020-07-03,106,29284,534.4
West Midlands,July,2020-07-03,41,25397,430.4
East of England,July,2020-07-03,60,23447,378.1
East Midlands,July,2020-07-03,106,21236,442
North East,July,2020-07-03,8,15088,567.7
South West,July,2020-07-03,8,12768,228
North West,July,2020-07-04,70,42827,587.3
South East,July,2020-07-04,29,33933,371.5
London,July,2020-07-04,32,33893,380.5
Yorkshire and The Humber,July,2020-07-04,77,29361,535.8
West Midlands,July,2020-07-04,23,25420,430.8
East of England,July,2020-07-04,40,23487,378.7
East Midlands,July,2020-07-04,87,21323,443.8
North East,July,2020-07-04,9,15097,568
South West,July,2020-07-04,9,12777,228.2
North West,July,2020-07-05,111,42938,588.8
South East,July,2020-07-05,57,33990,372.1
London,July,2020-07-05,49,33942,381
Yorkshire and The Humber,July,2020-07-05,90,29451,537.5
West Midlands,July,2020-07-05,34,25454,431.4
East of England,July,2020-07-05,35,23522,379.3
East Midlands,July,2020-07-05,127,21450,446.5
North East,July,2020-07-05,4,15101,568.2
South West,July,2020-07-05,17,12794,228.5
North West,July,2020-07-06,136,43074,590.7
South East,July,2020-07-06,40,34030,372.6
London,July,2020-07-06,47,33989,381.6
Yorkshire and The Humber,July,2020-07-06,119,29570,539.6
West Midlands,July,2020-07-06,50,25504,432.2
East of England,July,2020-07-06,53,23575,380.2
East Midlands,July,2020-07-06,135,21585,449.3
North East,July,2020-07-06,11,15112,568.6
South West,July,2020-07-06,19,12813,228.8
North West,July,2020-07-07,87,43161,591.9
South East,July,2020-07-07,51,34081,373.1
London,July,2020-07-07,54,34043,382.2
Yorkshire and The Humber,July,2020-07-07,92,29662,541.3
West Midlands,July,2020-07-07,57,25561,433.2
East of England,July,2020-07-07,31,23606,380.7
East Midlands,July,2020-07-07,100,21685,451.4
North East,July,2020-07-07,12,15124,569
South West,July,2020-07-07,14,12827,229.1
North West,July,2020-07-08,100,43261,593.3
South East,July,2020-07-08,63,34144,373.8
London,July,2020-07-08,39,34082,382.6
Yorkshire and The Humber,July,2020-07-08,103,29765,543.2
West Midlands,July,2020-07-08,56,25617,434.1
East of England,July,2020-07-08,49,23655,381.5
East Midlands,July,2020-07-08,83,21768,453.1
North East,July,2020-07-08,11,15135,569.4
South West,July,2020-07-08,9,12836,229.2
North West,July,2020-07-09,71,43332,594.2
South East,July,2020-07-09,33,34177,374.2
London,July,2020-07-09,20,34102,382.8
Yorkshire and The Humber,July,2020-07-09,55,29820,544.2
West Midlands,July,2020-07-09,88,25705,435.6
East of England,July,2020-07-09,18,23673,381.7
East Midlands,July,2020-07-09,48,21816,454.1
North East,July,2020-07-09,4,15139,569.6
South West,July,2020-07-09,8,12844,229.4
North West,July,2020-07-10,4,43336,594.3
South East,July,2020-07-10,6,34183,374.3
London,July,2020-07-10,5,34107,382.9
Yorkshire and The Humber,July,2020-07-10,7,29827,544.3
West Midlands,July,2020-07-10,2,25707,435.7
East of England,July,2020-07-10,2,23675,381.8
East Midlands,July,2020-07-10,4,21820,454.2
North East,July,2020-07-10,0,15139,569.6
South West,July,2020-07-10,0,12844,229.4
